"AwardGettingInfoID","Date","BookID","AwardID"
1,2009-07-10,30406,8265
2,1984-08-05,24427,34622
3,1987-04-09,45177,3583
4,1983-08-11,22573,23147
5,2015-10-03,45869,41698
6,2019-03-08,36400,27334
7,2006-09-09,20400,16870
8,2008-07-08,31414,39582
9,2010-07-25,540,39519
10,1999-06-17,44018,41701
11,1985-10-06,30659,27911
12,1980-03-24,47421,24947
13,2013-10-31,45230,967
14,1980-12-29,39094,43380
15,2017-04-06,39814,42549
16,2001-10-19,6851,50242
17,1980-07-11,28973,35460
18,2006-04-02,24456,12025
19,2017-04-06,49307,23084
20,2003-11-04,5770,16582
21,2019-09-25,29732,1404
22,2018-11-15,31005,17485
23,2018-01-18,5226,2644
24,1980-09-22,44665,28846
25,2009-04-13,21687,41638
26,1982-04-20,51834,42942
27,2016-09-12,37865,44122
28,2002-11-08,15962,35759
29,1997-10-01,33461,17390
30,2002-03-17,30952,39055
31,2013-02-27,52386,48309
32,1988-09-02,12654,18934
33,1988-08-05,26770,28850
34,2019-01-22,5204,30455
35,2017-08-19,30598,3844
36,2011-08-26,624,5041
37,2008-01-11,32011,8071
38,2009-04-06,45534,18865
39,2011-10-02,6818,5612
40,2016-04-06,29264,51300
41,1993-05-06,14457,30092
42,1999-04-13,32292,7679
43,2008-02-11,34725,19909
44,2002-02-21,7879,33106
45,1984-04-23,3995,22584
46,1993-12-02,11878,49650
47,1986-07-23,34598,19559
48,2004-04-03,5075,31893
49,2004-10-09,7498,49336
50,2016-12-01,43552,44801
51,1982-10-31,42369,26314
52,2003-03-07,45524,13308
53,2010-01-27,723,2928
54,2000-12-13,33879,16581
55,2002-12-30,16446,28862
56,2006-01-17,25555,27808
57,1982-08-22,26272,47164
58,1986-11-15,11753,3631
59,2013-01-15,46140,1867
60,1985-10-21,39766,49229
61,1982-03-25,52145,43270
62,2002-05-29,31034,46009
63,1993-03-21,40440,12201
64,2018-08-26,12054,32506
65,1984-02-06,27364,20865
66,2014-09-26,20606,43676
67,2012-12-20,46600,51310
68,1986-05-31,744,42766
69,2014-12-26,5193,26012
70,2015-08-02,24105,14061
71,2017-04-10,1461,38253
72,1986-07-22,18030,49446
73,2016-12-03,39265,22564
74,2003-10-25,36014,39106
75,2018-10-28,124,52066
76,2013-03-04,49367,21420
77,1981-11-24,41629,22282
78,2011-03-17,367,17528
79,2016-02-18,262,37770
80,2013-08-09,3319,45814
81,2014-10-22,25703,43280
82,2010-12-02,30005,39592
83,2010-11-17,19383,35250
84,1983-09-28,37793,7788
85,1987-09-15,5801,10722
86,2003-07-01,9134,2039
87,2003-08-17,33954,28020
88,1994-09-21,35090,39735
89,1987-07-12,16642,29433
90,1980-10-11,2139,4445
91,1989-01-08,34430,23765
92,2001-05-18,18233,34889
93,1993-07-14,46402,4367
94,1995-02-11,23693,4572
95,2017-11-01,46739,49583
96,2015-10-08,4725,40649
97,2006-04-30,1450,7057
98,1980-08-20,13287,5181
99,2003-02-23,35681,40293
100,1992-12-22,22950,750
101,2015-08-06,4845,23786
102,1992-12-15,20185,2973
103,2007-10-23,28370,45086
104,2016-02-07,33393,29056
105,2014-12-14,50302,24994
106,2013-09-10,33768,22544
107,1989-03-09,24591,47858
108,2001-05-09,59,495
109,2009-03-31,41856,39874
110,2000-01-17,51059,24413
111,1981-06-20,31296,34662
112,2004-04-27,30402,43064
113,2000-12-21,45216,48078
114,1994-11-10,17109,2517
115,2005-03-12,42307,16263
116,1998-06-04,22282,3017
117,1986-09-28,38907,43794
118,1994-10-31,47512,45856
119,1995-06-20,50269,46272
120,1996-09-15,20150,6857
121,1995-01-03,31173,15001
122,1996-10-26,22841,40846
123,2005-12-31,46124,7750
124,1990-03-02,25743,4155
125,1991-12-27,47675,46659
126,1999-08-22,42964,26370
127,1985-08-03,28587,31827
128,2001-11-24,43035,11695
129,2002-08-21,39595,28990
130,2007-04-29,16081,29725
131,1981-03-14,29236,50015
132,2019-12-12,22521,41099
133,2005-02-21,18593,26503
134,2019-10-18,48626,8229
135,2015-06-08,47039,24798
136,1987-12-26,30568,11024
137,2015-12-26,13503,50032
138,2010-11-21,21245,11089
139,1999-05-16,35921,28372
140,1994-09-21,42107,24740
141,2017-07-15,19697,15250
142,2008-06-09,28948,9104
143,2001-11-12,33272,5452
144,2008-12-17,11993,25168
145,1996-11-06,35316,19464
146,1997-09-14,36408,42251
147,2002-11-14,38661,43091
148,1989-12-24,43012,25243
149,1983-10-05,8806,47121
150,2010-07-06,21260,21853
151,1995-04-06,43496,30462
152,2009-08-23,28649,17350
153,2011-11-15,759,17311
154,2019-01-04,14114,34677
155,1982-10-08,29544,32411
156,1981-10-02,2993,29784
157,2001-01-15,17024,17513
158,1991-04-01,18745,49563
159,2015-01-09,38461,20439
160,2003-11-29,13677,24042
161,2017-12-13,3868,88
162,1989-07-06,16342,31601
163,2016-04-14,2828,32626
164,1987-03-09,30293,6584
165,2000-12-19,6630,42589
166,1989-10-09,37517,27559
167,1985-07-01,14171,27446
168,2009-07-27,48343,48672
169,1994-08-03,10825,1087
170,2000-10-23,18123,39057
171,1987-06-20,48958,3754
172,2018-03-08,46495,27459
173,2007-11-01,18396,15611
174,2006-03-15,3088,40809
175,2018-12-17,2349,24415
176,2019-06-18,27028,36045
177,2012-03-04,10271,39104
178,2001-07-17,3079,49606
179,1998-07-02,50138,37530
180,2016-04-25,49658,46543
181,2016-02-15,29760,13032
182,2001-04-19,10934,12097
183,1982-03-08,34723,42579
184,2018-01-10,51488,19200
185,1987-09-05,51147,21706
186,1989-12-16,40024,35940
187,1989-08-12,4313,21778
188,2000-01-22,39458,6335
189,1980-09-25,14393,48302
190,1981-06-16,13745,36972
191,1994-02-27,17776,27957
192,2010-04-14,900,2915
193,1997-09-22,31032,638
194,1980-05-29,42771,20605
195,1997-11-29,9398,44731
196,1993-10-18,10683,28327
197,2015-09-22,13741,38983
198,2012-01-02,40674,28057
199,2019-11-12,48622,22911
200,2018-04-13,34867,18828
201,2012-05-01,17778,5072
202,2018-02-28,17775,34193
203,1995-11-26,6522,47601
204,1998-01-10,9077,21959
205,2010-05-25,19162,21753
206,1998-02-28,4161,42789
207,1983-03-21,38168,15418
208,2014-06-24,38470,45806
209,2015-02-26,8785,51938
210,1994-10-27,28795,2171
211,2002-11-03,39102,31819
212,1999-12-16,34451,23316
213,2007-10-25,33903,10144
214,2001-07-10,17407,44755
215,1992-08-21,28182,958
216,2011-04-01,38,34473
217,2014-06-21,33619,43718
218,1981-02-03,2258,39990
219,1983-11-16,5637,5023
220,1985-06-25,16329,5173
221,1991-09-01,23416,52034
222,2009-12-06,19765,41625
223,2011-12-24,18376,24764
224,2017-06-26,51725,4122
225,2006-01-23,11954,20619
226,1995-11-17,3628,43857
227,2015-03-25,7315,1728
228,2013-06-04,49246,15284
229,2009-08-04,37063,44787
230,1987-11-13,31814,32735
231,1988-02-07,28442,15578
232,2013-02-03,31836,20836
233,1987-11-13,51175,36232
234,2001-08-13,13726,776
235,2007-09-20,28019,8342
236,1984-06-27,51866,3264
237,1982-04-25,2967,27674
238,1993-11-03,35896,21720
239,2015-12-23,11061,47774
240,1987-06-05,3989,6904
241,1983-09-07,33238,18609
242,1991-04-01,24051,27905
243,1992-08-04,1363,12111
244,2016-03-08,44005,6047
245,2000-04-17,50907,45960
246,1996-11-23,30668,26894
247,1986-09-09,51864,34019
248,2006-10-11,46235,25637
249,2013-01-29,47470,17240
250,2014-01-11,9997,49377
251,1996-04-06,30867,36616
252,2006-02-08,20350,21436
253,1986-08-15,11228,36822
254,1998-08-27,33046,17440
255,2008-09-16,21307,40906
256,1986-11-17,18482,49580
257,1991-12-29,36938,49194
258,2001-06-22,34164,33670
259,1983-06-07,42521,32019
260,1995-11-10,18036,27733
261,2000-06-10,16410,29707
262,2002-09-13,34032,44825
263,2012-10-02,40881,12301
264,2010-01-17,10227,11594
265,2019-11-21,20961,44866
266,1984-11-29,23970,30501
267,1994-11-29,20378,13371
268,2012-09-28,2486,23614
269,2012-01-17,43601,42358
270,2009-05-09,44472,11462
271,2009-01-25,14351,47206
272,2012-08-30,33825,22023
273,1981-08-14,34407,25318
274,1982-06-13,17376,43459
275,2009-01-18,18420,47720
276,2012-01-25,4820,9071
277,2007-09-02,3747,1421
278,2008-11-15,16282,43802
279,1982-05-31,44063,40408
280,1999-12-10,22941,30284
281,1993-05-15,11131,28389
282,1998-07-16,12239,25902
283,1997-11-26,36484,48353
284,2001-08-27,251,16652
285,1992-12-14,7057,39102
286,1991-08-29,25529,31031
287,1998-08-28,35908,24632
288,2012-03-17,31210,12886
289,2009-02-11,16930,29621
290,1984-02-14,2693,49591
291,1987-10-26,48064,45317
292,2003-11-10,15248,23359
293,1984-08-26,35079,26403
294,2007-06-05,31698,37085
295,2015-07-12,21510,33457
296,2005-08-18,7326,15217
297,2006-12-30,49147,42135
298,1983-10-15,50384,52257
299,1985-04-04,33928,24052
300,2002-12-13,9688,41091
301,2013-03-28,18532,45412
302,1999-03-21,23761,12647
303,1999-09-26,17774,52334
304,2012-12-28,30009,32427
305,1981-03-22,12754,49380
306,2004-03-21,30641,37001
307,1980-11-23,31272,30932
308,2004-08-17,42213,28876
309,2001-06-05,26062,45194
310,2017-08-01,47941,12622
311,1996-05-17,36927,52321
312,2019-07-14,35703,49619
313,1994-08-08,51305,18004
314,2005-02-20,40040,27664
315,2001-11-04,13309,36392
316,2009-05-26,26749,45527
317,1994-07-04,51174,27089
318,2003-06-21,29416,36089
319,2001-07-29,23248,36579
320,1986-05-01,15898,44710
321,1990-05-16,5402,37552
322,1988-10-05,40486,34153
323,1992-08-10,31233,51128
324,2003-09-05,8455,45039
325,2016-05-25,44813,2051
326,1989-04-14,4512,37938
327,2012-03-18,47716,36012
328,2016-10-10,51850,16440
329,1995-04-16,157,11578
330,2002-04-26,48548,6780
331,2000-10-03,13283,12397
332,1996-05-04,42721,46234
333,1998-12-12,4479,21661
334,2010-05-25,28189,20624
335,2016-10-25,28149,14781
336,1992-10-11,24307,21793
337,2019-12-12,26999,16433
338,2015-07-11,48421,32644
339,2018-08-23,36379,33367
340,1994-01-08,16769,10120
341,1990-02-23,32357,20010
342,2012-11-12,48842,23037
343,1987-01-17,14227,30576
344,2010-02-22,47608,19319
345,2009-07-01,16521,6703
346,2011-03-01,5467,1595
347,1995-12-03,21864,13775
348,2000-08-06,13737,18181
349,2000-08-18,40941,41812
350,2000-11-18,21801,35710
351,1982-07-24,2083,10643
352,1991-10-30,42164,50063
353,1999-07-10,50582,9374
354,1991-03-12,15519,11378
355,2008-07-17,49984,25208
356,2004-11-19,10036,32726
357,1985-02-18,26210,19750
358,1994-04-23,31184,6776
359,1989-05-21,47424,12698
360,2013-09-25,46849,18349
361,1999-03-02,13212,23141
362,2008-01-10,43510,13086
363,1991-04-25,21473,37993
364,1980-12-30,18485,30083
365,1996-11-17,49143,11337
366,2008-03-17,5661,6931
367,2011-04-03,31800,39333
368,2006-08-08,35545,41586
369,1988-08-10,22324,35811
370,1989-05-23,40547,9345
371,1993-05-31,34330,7256
372,1981-07-06,15112,33700
373,1984-07-22,49634,34843
374,1990-03-17,42481,11138
375,1990-04-14,37858,11877
376,2008-01-28,32908,16904
377,1999-10-26,5421,7601
378,2019-07-11,42262,40835
379,1982-12-07,49484,8001
380,1992-11-29,39261,32700
381,2007-01-02,31242,42123
382,2018-01-18,33501,7932
383,2016-08-12,45282,17714
384,1996-04-23,16145,9307
385,2008-09-25,40960,32628
386,1994-04-04,9148,42534
387,2018-12-17,28559,33208
388,2017-04-05,42620,48354
389,2015-04-27,11609,3604
390,1996-06-14,40663,14644
391,2016-03-11,8908,37169
392,1991-04-16,565,22612
393,2009-12-17,41772,22151
394,2004-07-20,14064,42304
395,1993-01-30,16077,34268
396,2004-09-13,41932,16231
397,2005-05-30,13069,1591
398,1989-06-12,46591,9570
399,1992-03-14,3975,17364
400,1985-08-26,7808,51627
401,1983-05-22,19176,37593
402,1989-05-12,43863,12490
403,1995-10-19,10925,52261
404,2007-03-20,28257,18614
405,1998-12-19,12762,20615
406,1990-05-03,14148,45432
407,1985-01-04,44027,20982
408,1995-04-12,27514,51667
409,1983-09-27,23005,38138
410,1980-11-04,51954,24675
411,1997-09-20,2454,40912
412,2009-09-01,23108,26070
413,2010-03-16,15728,37276
414,2008-11-20,25554,45422
415,2001-09-30,43189,49917
416,1991-04-13,29931,44485
417,1986-05-25,42020,11006
418,1988-10-24,36991,2932
419,1998-01-17,47589,42092
420,1981-09-14,28027,34932
421,1990-03-03,16150,50506
422,2000-09-09,45932,9396
423,2014-11-28,234,50881
424,2017-02-12,41946,50739
425,1981-06-15,34273,35887
426,2004-01-04,41392,365
427,1984-04-09,40008,9421
428,1983-04-16,30978,23294
429,2007-11-27,33069,452
430,2008-08-24,23662,15489
431,1982-08-16,2995,10950
432,1981-02-10,43868,12966
433,1980-04-07,24508,24346
434,2008-01-04,35783,3569
435,2015-01-11,19458,50166
436,2013-10-08,25153,37929
437,2013-01-19,17082,18511
438,1995-06-10,37262,46911
439,2007-05-06,3434,17706
440,2007-06-21,12782,47254
441,1996-11-26,10820,11652
442,2017-06-15,2534,27302
443,1995-09-29,25393,46262
444,1998-11-23,34587,2903
445,1993-06-27,12885,49573
446,1998-11-10,14224,28697
447,1991-10-21,13952,19702
448,2014-04-08,46223,29804
449,2012-10-05,9583,7567
450,1982-12-23,1606,1971
451,2012-07-07,47634,38782
452,2019-08-14,38173,27433
453,1984-08-14,51968,23650
454,1981-05-01,22302,45566
455,2005-03-03,37191,47089
456,1982-07-18,43770,43411
457,1984-04-29,14501,28308
458,2013-03-16,43212,31731
459,2013-02-14,14018,652
460,1986-07-24,18993,872
461,1984-08-18,26544,11268
462,2001-10-10,2325,48160
463,1981-09-16,4811,8482
464,2000-09-29,2425,1375
465,1991-10-25,50740,17459
466,2004-05-24,15165,40823
467,2008-03-15,31745,28525
468,2009-05-09,42701,5158
469,1999-03-20,31252,14995
470,2007-05-21,42179,30574
471,2000-02-06,19293,43375
472,1982-04-14,3663,27836
473,1987-09-25,40525,46352
474,1990-03-20,43125,35622
475,1988-10-18,46686,41533
476,2009-12-08,20608,19669
477,2019-11-20,49513,17602
478,1981-07-18,27162,4579
479,2019-02-14,29296,33481
480,2003-06-22,4087,26993
481,1994-12-20,51906,52303
482,1986-01-06,24151,21011
483,1998-08-23,1164,35282
484,1991-12-21,43227,23710
485,1981-10-21,22419,15910
486,2017-08-22,3281,410
487,1980-11-19,52233,16253
488,2018-10-12,40015,50862
489,2002-11-05,1794,43072
490,1998-06-11,23747,33767
491,1990-10-04,49833,27647
492,2014-09-27,17685,52192
493,2000-07-01,12780,12245
494,2003-01-09,9604,39915
495,2005-01-01,36624,11190
496,2003-12-05,31246,22354
497,2003-12-01,45726,39277
498,2001-03-08,37993,24590
499,2012-09-27,32755,14060
500,2004-08-29,36200,14065
501,1996-02-22,45643,43080
502,2014-11-04,7316,4498
503,2007-03-02,50106,37070
504,2011-02-15,39426,33356
505,2008-12-30,35623,24248
506,2004-10-18,7225,12427
507,1988-07-18,6060,43875
508,1997-06-08,1820,14150
509,1990-11-05,20209,37839
510,2008-07-19,15700,23611
511,1998-07-25,44694,42546
512,2019-11-12,38402,29798
513,1989-10-15,15121,4472
514,1994-02-17,14654,37366
515,1999-03-09,39020,23908
516,2009-12-12,12125,38199
517,1998-02-01,4649,14906
518,1993-04-12,5146,11259
519,1984-12-12,33124,3167
520,1984-05-20,29565,39833
521,1988-05-21,24834,50387
522,2010-12-16,51556,29241
523,2018-01-18,4589,44905
524,1994-04-20,52399,24188
525,2014-01-22,48405,6191
526,2010-12-25,36094,3049
527,2002-11-15,39760,48664
528,1993-08-23,35154,22175
529,2019-01-26,50073,45886
530,1984-02-01,21733,37135
531,2011-09-08,6751,39275
532,2007-03-08,17471,47370
533,2006-06-19,6068,50308
534,2007-01-21,18703,32740
535,2009-02-24,25949,35686
536,1986-01-19,14424,1757
537,1981-04-20,32182,44367
538,2001-11-03,40169,20943
539,1988-12-09,37561,25417
540,2006-10-29,7485,3382
541,2015-02-05,25868,13988
542,1991-11-17,52285,17078
543,1991-02-10,34399,24455
544,2006-12-02,27307,21599
545,2004-07-17,48150,21483
546,1997-09-30,43236,36105
547,1985-07-13,30640,36922
548,2007-10-22,27008,23155
549,2011-01-15,48249,4329
550,1998-10-30,51014,38026
551,2001-12-28,24897,51364
552,1982-09-03,44805,25527
553,2008-01-07,32881,42510
554,2015-02-11,37192,40929
555,2012-04-23,25517,17671
556,1982-09-23,28062,48922
557,2018-08-04,50182,47563
558,2012-06-11,26942,13960
559,1987-06-12,26686,28483
560,1981-08-04,44905,12895
561,2019-07-23,33774,27929
562,2018-05-22,439,15512
563,1993-04-07,873,6648
564,1981-07-10,38779,47873
565,1989-08-31,41952,34877
566,2017-01-28,50234,48494
567,1997-02-26,6686,8282
568,2018-05-05,24003,52022
569,1992-09-19,50108,12422
570,1993-07-19,49502,984
571,1994-06-25,18099,30663
572,1994-08-14,20889,48344
573,2004-11-24,45940,51846
574,1999-02-27,25740,26399
575,1998-05-12,40588,13092
576,1989-08-30,51092,44651
577,1999-09-28,1135,4013
578,1992-06-22,5465,519
579,1996-04-19,15849,20084
580,1998-02-21,8604,24478
581,2017-07-03,5504,40589
582,1998-06-04,19859,21021
583,2009-02-10,26053,16822
584,2016-08-31,49069,8147
585,2006-08-25,13225,24072
586,2006-11-26,19374,14017
587,2012-05-02,7223,30711
588,1983-09-20,13379,29564
589,1980-10-21,27493,26343
590,2006-02-17,377,31558
591,2004-09-16,4365,44208
592,1990-08-27,6174,14226
593,2012-12-24,51080,40907
594,1999-02-21,22754,2873
595,2015-07-23,41105,5686
596,2015-01-18,52388,20589
597,2009-08-30,43423,48474
598,2012-06-11,17888,31159
599,1992-10-30,18176,42030
600,2003-04-10,6633,22747
601,2003-08-23,865,42379
602,2014-03-14,42885,9491
603,1980-03-31,5177,23231
604,1984-10-24,26299,25465
605,2019-05-28,4940,23337
606,1980-09-22,8796,28934
607,1988-12-03,37862,2988
608,2007-06-24,36988,44203
609,1994-07-31,49915,45172
610,2004-12-26,40864,13106
611,2001-09-28,33243,20006
612,2011-06-01,42099,34148
613,1987-05-03,18738,36505
614,2017-03-30,24775,13409
615,2001-11-16,16404,26608
616,2014-10-10,36712,17661
617,1997-05-05,3413,29652
618,1982-12-21,22482,7426
619,1984-05-02,46106,27574
620,1984-08-20,51570,30775
621,1989-11-27,9380,11742
622,2004-06-20,12580,26263
623,2019-10-26,14650,12286
624,1998-06-20,6255,13785
625,1982-09-02,17201,46907
626,2011-04-20,31587,30979
627,1981-03-11,50718,39089
628,1996-11-03,26188,4687
629,1987-11-28,7512,5381
630,1986-07-01,33638,34583
631,2012-07-18,2962,20884
632,2019-02-02,3009,34688
633,2019-08-06,42194,18472
634,1990-07-06,150,10622
635,1986-06-20,49209,41739
636,2005-07-30,2872,31119
637,1980-04-08,11509,18929
638,2017-11-01,6134,8262
639,2016-03-17,5873,31834
640,2010-10-22,45249,22963
641,2015-08-16,19882,46127
642,1997-02-22,19713,7142
643,1999-05-19,7992,3362
644,2015-07-04,30000,3493
645,1988-12-09,4424,42772
646,2010-06-05,36948,41203
647,1995-05-09,19791,15640
648,1997-09-22,17075,29107
649,2013-09-10,5031,28881
650,2006-03-17,19526,40355
651,2006-08-30,22689,23915
652,2014-05-15,6227,47149
653,2006-09-09,26851,24045
654,2016-11-26,33477,35829
655,1985-02-14,43269,15801
656,1984-10-05,15558,47329
657,1986-11-10,35098,28964
658,1992-01-08,22395,52105
659,1990-12-23,7089,42586
660,1992-11-08,17131,4401
661,1985-11-24,712,37251
662,2013-09-26,43256,7013
