BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
1,2993816,30516,6376780,"['3444695', '1921313', '745221', '171994', '93557']",96
2,2632233,26923,2507623,"['1593642', '637516', '222366', '39573', '14526']",98
3,2269402,23328,4501075,"['2363896', '1333153', '573280', '149952', '80794']",95
4,1983116,20452,2998241,"['1617567', '816659', '373311', '113934', '76770']",94
5,1459448,14874,4964519,"['1751460', '1113682', '1008686', '542017', '548674']",78
6,1372809,14168,1834276,"['1048230', '524674', '186297', '48864', '26211']",96
7,1276599,13264,2740713,"['986764', '958699', '545475', '165093', '84682']",91
8,1238556,12949,517740,"['254964', '167572', '74362', '15423', '5419']",96
9,1159802,12111,110146,"['78217', '22857', '6628', '1477', '967']",98
10,1087732,11211,1074620,"['602138', '275517', '133535', '39008', '24422']",94
11,1087056,11287,3550714,"['1784471', '1022406', '512574', '150365', '80898']",93
12,1063601,10996,1436325,"['725771', '420864', '199846', '58326', '31518']",94
13,1021534,10594,905731,"['556142', '204347', '94819', '27950', '22473']",94
14,981502,10275,1342664,"['483222', '413051', '279702', '107437', '59252']",88
15,876633,9231,1933446,"['645308', '667657', '399278', '142103', '79100']",89
16,862748,8993,1717312,"['712950', '615702', '295184', '66518', '26958']",95
17,861799,9096,966196,"['382985', '350778', '176188', '41869', '14376']",94
18,833791,8812,458299,"['183179', '155059', '91573', '21360', '7128']",94
19,826759,8740,1624682,"['746070', '501478', '256972', '76970', '43192']",93
20,813088,8548,682793,"['332692', '202012', '100932', '29673', '17484']",93
21,793757,8537,1680139,"['612098', '604888', '331815', '91160', '40178']",92
22,793269,8339,2906258,"['1409189', '882493', '434381', '123286', '56909']",94
23,773560,8230,2263259,"['617568', '763438', '555614', '205804', '120835']",86
24,771784,8282,2055102,"['616589', '635380', '545898', '184612', '72623']",87
25,765587,8008,2107732,"['805221', '613564', '414410', '172160', '102377']",87
26,759066,7937,626897,"['315090', '188181', '84074', '26493', '13059']",94
27,758416,7979,1250155,"['599617', '392068', '188162', '50631', '19677']",94
28,755074,8142,3775504,"['1345866', '1266424', '798955', '252115', '112144']",90
29,721821,7601,1617465,"['745774', '465337', '271968', '87611', '46775']",92
30,720651,7515,1131303,"['603209', '339819', '132305', '35667', '20303']",95
31,718236,7693,2164011,"['1300564', '636115', '176679', '34643', '16010']",98
32,695453,7340,727685,"['379818', '208919', '100304', '25501', '13143']",95
33,691430,7348,7048471,"['4578137', '1611874', '600384', '139551', '118525']",96
34,690461,7388,1363048,"['765471', '352384', '170246', '50086', '24861']",95
35,681142,7358,1417302,"['667602', '435898', '234523', '52346', '26933']",94
36,667925,7218,1942168,"['634457', '681382', '437709', '132901', '55719']",90
37,666335,6969,1573857,"['611265', '511614', '302023', '97893', '51062']",91
38,646782,6988,938325,"['345260', '329217', '197206', '48642', '18000']",93
39,636202,6835,1441287,"['527202', '517142', '283812', '78322', '34809']",92
40,621264,6543,753470,"['361401', '202144', '111026', '46474', '32425']",90
41,603268,6533,2736523,"['937208', '846027', '579292', '234980', '139016']",86
42,601669,6413,779597,"['403082', '230637', '103925', '26081', '15872']",95
43,597132,6370,1992300,"['1006885', '604999', '289310', '64014', '27092']",95
44,585722,6445,891374,"['381307', '306569', '158245', '32814', '12439']",95
45,580722,6164,1151288,"['624406', '376677', '119523', '21990', '8692']",97
46,562789,6014,1051535,"['425481', '327970', '200267', '63557', '34260']",91
47,562241,6007,2003043,"['1231600', '540493', '156705', '41880', '32365']",96
48,516841,5691,1151767,"['348906', '397153', '288029', '85514', '32165']",90
49,510188,5512,2014401,"['614520', '706917', '472058', '149445', '71461']",89
50,509346,5512,938150,"['396850', '309135', '173456', '44305', '14404']",94
51,502762,5479,816934,"['434637', '206951', '116646', '36075', '22625']",93
52,497706,5477,616631,"['345538', '154254', '84286', '20797', '11756']",95
53,494442,5437,861486,"['265910', '274273', '213021', '74221', '34061']",87
54,490471,5307,1339076,"['464957', '475177', '264628', '87693', '46621']",90
55,488900,5365,810000,"['277631', '259424', '176879', '63052', '33014']",88
56,474329,5110,1379584,"['545209', '512513', '242028', '59367', '20467']",94
57,461887,4976,663069,"['236731', '215063', '137868', '47097', '26310']",89
58,448769,4858,1129210,"['475782', '379252', '187946', '55979', '30251']",92
59,438548,4912,1162638,"['350758', '399756', '287215', '89125', '35784']",89
60,437288,4774,2424976,"['1264965', '781294', '268359', '70243', '40115']",95
61,422994,4648,1459245,"['616810', '517007', '227994', '64441', '32993']",93
62,418251,4566,1785054,"['786988', '591426', '293684', '77858', '35098']",94
63,408236,4454,723147,"['289501', '230048', '130390', '47160', '26048']",90
64,406837,4394,765785,"['391252', '224627', '101953', '30795', '17158']",94
65,392260,4221,648793,"['354788', '189091', '71541', '21183', '12190']",95
66,391883,4242,616021,"['342747', '174680', '72341', '18056', '8197']",96
67,376044,4217,243129,"['117755', '87926', '31440', '4287', '1721']",98
68,371182,4058,433754,"['186896', '138225', '71104', '22250', '15279']",91
69,367399,4225,651506,"['200286', '218262', '149650', '54551', '28757']",87
70,354812,4063,1681583,"['721282', '541255', '299023', '82023', '38000']",93
71,351517,3860,591175,"['215731', '217154', '117286', '30249', '10755']",93
72,351347,3835,2811637,"['2038930', '552014', '161906', '35042', '23745']",98
73,350693,3973,630948,"['277909', '232001', '93436', '19835', '7767']",96
74,348162,3815,681953,"['283318', '223682', '120596', '36847', '17510']",92
75,342024,3661,824014,"['449748', '207613', '100271', '37903', '28479']",92
76,340746,3751,1056676,"['427622', '372358', '188107', '48599', '19990']",94
77,339882,3789,647667,"['340257', '203271', '82637', '14606', '6896']",97
78,339244,3820,2355237,"['1378340', '616196', '244984', '67680', '48037']",95
79,338469,3781,2607860,"['1181014', '872820', '365843', '109806', '78377']",93
80,332533,3736,450276,"['213838', '152839', '63383', '14209', '6007']",96
81,324371,3544,3140442,"['1474277', '1025880', '453693', '121946', '64646']",94
82,319385,3631,521200,"['244193', '179134', '74068', '16614', '7191']",95
83,309492,3407,388454,"['192536', '128033', '51805', '11410', '4670']",96
84,302942,3413,601048,"['225177', '216256', '108731', '31645', '19239']",92
85,300848,3299,716197,"['271747', '245274', '128293', '45727', '25156']",90
86,299610,3312,243271,"['134077', '68234', '29317', '7980', '3663']",95
87,290485,3242,539576,"['224972', '193782', '88173', '22464', '10185']",94
88,277801,2986,548959,"['259257', '155849', '90053', '27768', '16032']",92
89,273019,3047,582674,"['234655', '191515', '109865', '33061', '13578']",92
90,271161,2977,658743,"['289926', '204614', '104164', '36978', '23061']",91
91,257342,2882,1284131,"['513058', '406740', '243241', '76112', '44980']",91
92,253824,2893,209688,"['72520', '66539', '48749', '15704', '6176']",90
93,248484,2730,353814,"['127162', '93644', '63882', '32760', '36366']",80
94,247736,2770,2806471,"['1892635', '668920', '205266', '27227', '12423']",99
95,235351,2726,831152,"['261890', '271295', '190305', '70227', '37435']",87
96,228630,2582,1331152,"['638224', '363614', '208767', '73343', '47204']",91
97,219143,2581,270388,"['151804', '73615', '33669', '7126', '4174']",96
98,218309,2533,220153,"['122549', '66630', '24609', '4284', '2081']",97
99,208415,2388,484530,"['180566', '167133', '100554', '26802', '9475']",93
100,207241,2280,285954,"['143125', '87919', '38471', '11140', '5299']",94
101,202669,2346,479125,"['129483', '125817', '122379', '60815', '40631']",79
102,181001,2025,520252,"['244051', '167546', '76133', '21830', '10692']",94
103,179134,2051,1116565,"['428034', '410900', '208952', '49676', '19003']",94
104,178933,2049,2594622,"['1729403', '640440', '187274', '26301', '11204']",99
105,174623,1922,666121,"['368852', '185638', '79414', '20738', '11479']",95
106,162803,1889,2437658,"['1646703', '584575', '167461', '27277', '11642']",98
107,161480,1876,822061,"['406760', '271535', '108660', '22118', '12988']",96
108,156896,1752,581175,"['232737', '195347', '99384', '33138', '20569']",91
109,155824,1789,706396,"['255450', '255216', '140470', '39843', '15417']",92
110,151458,1654,242684,"['132720', '65754', '30062', '9647', '4501']",94
111,151115,1603,715936,"['490359', '150879', '47830', '15610', '11258']",96
112,150022,1767,1126760,"['549840', '366682', '152167', '35398', '22673']",95
113,147006,1806,758171,"['246612', '275196', '176772', '43185', '16406']",92
114,145002,1656,1437124,"['546146', '430537', '294942', '105894', '59605']",88
115,143701,1718,664710,"['285308', '229774', '117014', '22663', '9951']",95
116,142450,1657,478318,"['202947', '168968', '82223', '18584', '5596']",95
117,140738,1595,348767,"['91609', '109458', '88737', '40359', '18604']",83
118,139981,1648,643254,"['198012', '226593', '147684', '48181', '22784']",89
119,139840,1533,1113222,"['455206', '350955', '210930', '68230', '27901']",91
120,139091,1538,462182,"['236541', '143972', '58204', '16367', '7098']",95
121,138265,1592,1191621,"['360059', '459260', '273369', '71879', '27054']",92
122,137241,1601,396110,"['228021', '90789', '53120', '15051', '9129']",94
123,135685,1553,782188,"['342080', '254400', '133155', '37592', '14961']",93
124,135330,1519,341660,"['145661', '115493', '56338', '17365', '6803']",93
125,132314,1535,301153,"['130650', '103696', '46884', '13442', '6481']",93
126,131268,1528,342208,"['146676', '108350', '61829', '17478', '7875']",93
127,130666,1567,2725847,"['1608855', '748165', '302543', '52312', '13972']",98
128,128488,1519,334837,"['185806', '101665', '35384', '7682', '4300']",96
129,128261,1597,706272,"['130845', '210419', '225668', '96782', '42558']",80
130,125917,1494,529229,"['213888', '189463', '88958', '22917', '14003']",93
