"BookID","CharacterID"
30406,37497
24427,22921
45177,36261
22573,40646
45869,5399
36400,45840
20400,8970
31414,39374
540,6941
44018,10919
30659,13087
47421,37292
45230,44702
39094,38439
39814,45833
6851,116
28973,31724
24456,37020
49307,48561
5770,816
29732,28389
31005,8553
5226,37084
44665,16932
21687,6718
51834,49386
37865,21716
15962,43134
33461,7110
30952,888
52386,47179
12654,29108
26770,36378
5204,32187
30598,21751
624,41380
32011,16748
45534,48605
6818,9399
29264,27053
14457,45444
32292,30801
34725,5575
7879,35954
3995,31269
11878,21695
34598,26331
5075,42817
7498,2620
43552,45776
42369,19907
45524,788
723,28395
33879,16866
16446,17561
25555,25911
26272,33129
11753,10017
46140,21906
39766,37210
52145,23545
31034,38687
40440,41065
12054,7252
27364,41896
20606,42995
46600,12480
744,44885
5193,21444
24105,12501
1461,33269
18030,37509
39265,47953
36014,1212
124,49636
49367,10848
41629,19141
367,17631
262,42751
3319,24145
25703,6114
30005,13107
19383,42438
37793,31914
5801,18736
9134,47101
33954,14421
35090,22625
16642,416
2139,907
34430,21009
18233,47655
46402,29229
23693,6311
46739,46119
4725,20048
1450,4155
13287,32286
35681,29995
22950,26998
4845,23684
20185,29397
28370,29458
33393,36509
50302,15967
33768,26522
24591,8208
59,28180
41856,23901
51059,16194
31296,38282
30402,35036
45216,32369
17109,565
42307,16029
22282,8167
38907,48638
47512,3875
50269,5288
20150,45666
31173,35842
22841,28457
46124,37011
25743,41782
47675,29113
42964,3863
28587,20193
43035,11311
39595,6888
16081,25095
29236,14548
22521,33222
18593,37707
48626,36387
47039,19714
30568,8588
13503,31505
21245,46015
35921,32931
42107,10875
19697,50727
28948,40325
33272,25008
11993,26252
35316,21468
36408,45737
38661,3935
43012,31804
8806,15179
21260,281
43496,8856
28649,32855
759,6683
14114,14631
29544,14126
2993,38452
17024,26068
18745,14264
38461,34524
13677,43700
3868,39127
16342,22479
2828,38831
30293,48354
6630,30257
37517,48322
14171,21626
48343,38262
10825,14125
18123,9223
48958,47128
46495,41050
18396,49334
3088,12309
2349,52322
27028,17309
10271,29194
