"OrderID","Price","BookID","SellerID","CustomerID"
1,5.09,33079,18293,45653
2,7.38,38053,42303,28981
3,10.32,43195,49496,31076
4,10.32,33521,25272,11761
5,2.1,44292,11052,5985
6,3.8,44955,25951,31136
7,4.42,16496,28060,47066
8,10.32,18469,36979,326
9,21.15,41145,10183,17617
10,5.58,9812,35689,14182
11,10.32,16399,45931,23207
12,10.32,47776,406,21955
13,4.87,38478,35090,51138
14,2.73,2052,44818,13087
15,10.32,37607,40063,28455
16,2.76,45194,30346,34818
17,10.32,22318,20448,17379
18,3.07,7227,37603,32064
19,5.46,30514,34405,44054
20,10.32,31902,51540,28309
21,10.32,8645,21373,3861
22,0.88,52275,22546,21642
23,1.89,35893,49398,11035
24,6.79,35077,50420,36163
25,13.22,20863,4985,28137
26,18.85,30494,17448,51505
27,10.32,38990,5174,28937
28,10.32,25252,30028,27719
29,6.29,5110,45626,20874
30,4.6,21075,43729,1606
31,10.32,33936,5338,39760
32,6.07,51954,17896,9489
33,10.32,29461,22183,42961
34,10.32,21302,8934,16728
35,6.15,43161,19964,9926
36,5.75,43206,25133,19153
37,10.32,48485,47736,27730
38,4.55,25102,26559,31296
39,3.78,26640,33483,37595
40,10.32,11050,35758,50871
41,2.6,11470,9878,5316
42,6.23,18872,26984,44253
43,1.79,52314,32770,44715
44,3.33,41848,6853,47680
45,1.16,39386,11732,745
46,4.8,46324,25378,15964
47,4.01,43810,20320,36692
48,6.99,22143,31086,21774
49,1.91,1451,50369,35266
50,10.32,13239,41581,11336
51,3.67,46893,631,19835
52,2.98,27046,12159,35458
53,3.65,43400,10192,22741
54,2.86,23938,43088,41059
55,1.12,19266,16233,4770
56,3.46,18286,6127,7744
57,10.32,2871,21378,9571
58,8.5,29104,21785,48510
59,8.75,23195,17357,2526
60,10.32,5263,20845,24184
61,10.32,30771,24369,18195
62,7.15,23848,38359,43610
63,3.32,27701,45627,42181
64,29.34,31627,20639,10550
65,10.32,16344,1561,27157
66,8.38,47032,11638,31628
67,10.32,17597,50485,10734
68,5.25,2333,7019,6305
69,0.85,29959,37101,9735
70,5.51,51519,14823,42822
71,10.32,31267,46019,49282
72,2.85,16752,30366,26659
73,10.32,22210,38550,39903
74,10.32,25475,26346,20772
75,5.98,12100,2476,22622
76,2.76,40358,5563,19907
77,6.01,42147,46768,6157
78,10.32,20529,10442,6259
79,10.32,6941,4896,1700
80,10.32,39846,45314,50270
81,10.32,34960,8542,13004
82,13.75,13893,32777,26113
83,5.01,12396,46663,38508
84,13.05,9697,14437,4944
85,6.83,17399,27956,32420
86,5.51,8808,12777,28684
87,2.76,20815,35882,17079
88,3.33,23931,31750,21535
89,10.32,44171,13516,41190
90,4.12,50777,1468,42443
91,1.61,17299,11501,43229
92,9.04,33107,9928,28695
93,4.41,20904,18395,17315
94,5.94,26436,49720,36355
95,15.63,43038,39131,1667
96,10.32,35010,35782,41711
97,5.3,48630,13703,46573
98,5.27,20842,2232,26618
99,2.66,38911,45977,2283
100,2.86,42590,50944,27395
101,1.87,31745,37761,9625
102,5.26,17254,12811,26005
103,3.5,26835,37549,32601
104,10.32,41742,26770,15045
105,4.62,50051,17258,42850
106,10.32,14522,11137,20597
107,4.82,9077,52122,15829
108,3.11,42455,19078,12441
109,10.32,3139,20263,36849
110,13.56,32125,22730,8059
111,9.36,15386,1665,36847
112,7.59,10508,36445,4842
113,3.36,7572,48760,37425
114,2.86,20975,50509,10795
115,1.13,940,13213,50548
116,10.32,39926,41330,10553
117,1.91,50912,25129,28205
118,10.32,33274,40325,20440
119,10.32,39620,24218,24565
120,10.32,35829,28252,22447
121,2.94,32779,10527,27942
122,2.42,27563,52159,51357
123,3.27,21486,46502,44016
124,11.62,22452,48571,38464
125,4.07,39948,26890,40066
126,5.4,40918,4962,33714
127,4.17,51045,22350,30512
128,10.32,36417,24935,22921
129,1.91,44660,11285,37638
130,6.58,38402,474,6324
131,10.16,45838,37109,37367
132,3.57,21531,19257,50237
133,2.55,38516,51151,48358
134,0.85,30727,3246,22569
135,10.32,22187,52053,38930
136,6.13,1804,38594,5413
137,4.55,32584,50430,5763
138,2.6,15290,21878,16151
139,3.1,29898,23258,29934
140,10.32,4101,50677,21425
141,4.85,21502,27560,40560
142,5.71,13114,16731,4897
143,7.44,23654,40059,23347
144,10.32,25684,10433,28019
145,13.66,13816,22704,27506
146,5.26,37346,1146,13149
147,2.32,11589,31219,12448
148,4.68,6210,237,49499
149,3.17,42750,33630,28048
150,3.36,30323,36156,3351
151,2.76,20384,38510,40006
152,10.32,50966,26558,45044
153,10.32,11499,26733,18197
154,10.32,2602,40543,30605
155,10.32,50222,2053,10297
156,2.76,35290,11000,25068
157,2.86,20984,4426,47441
158,5.26,14060,21314,29392
159,2.86,13165,33438,43036
160,14.2,27099,18391,22253
161,10.32,1480,27458,21341
162,1.45,42120,10173,3805
163,10.32,7126,31759,25649
164,5.69,30847,38414,39899
165,41.26,12561,33563,31325
166,10.32,40891,34702,14776
167,3.73,24960,8197,23236
168,10.32,7897,1725,16313
169,5.27,29196,37397,39033
170,7.19,6846,25220,12586
171,10.32,15589,49726,23812
172,3,51743,30951,13487
173,4,52416,43051,40817
174,5.8,34033,44277,50920
175,10.32,33647,49498,49148
176,3.43,45860,3093,41623
177,1.91,16495,36211,47932
178,4.74,17898,43482,43784
179,5.26,16204,10454,39732
180,5.38,9046,3728,13635
181,4.55,12176,45278,19205
182,1.45,3091,9367,30726
183,5.79,29394,17380,15647
184,10.32,12988,4758,20506
185,4.09,38842,547,11672
186,5.01,33572,46480,34969
187,3.25,19146,27240,47416
