"publisherid","name"
1,"Scholastic Press"
2,"Scholastic Inc."
3,"Harper Perennial Modern Classics"
4,"Modern Library"
5,"Little, Brown and Company"
6,"Alfred A. Knopf"
7,"Signet Classics"
8,"HarperCollins"
9,"Ballantine Books"
10,"Warner Books"
11,"Dutton Books"
12,"Del Rey"
13,"HarperCollins Publishers"
14,"Norton"
15,"Anchor"
16,"Vintage Books USA"
17,"Random House: Modern Library"
18,"Penguin Group (USA)"
19,"Penguin"
20,"Signet Classics"
21,"Simon & Schuster"
22,"Katherine Tegen Books"
23,"Penguin Books"
24,"Simon Schuster"
25,"HarperOne"
26,"Penguin"
27,"MTV Books/Pocket Books"
28,"Scribner"
29,"Margaret K. McElderry Books"
30,"Macmillan Audio"
31,"Amy Einhorn Books/G.P. Putnam's Sons"
32,"Signet Book"
33,"Scholastic Inc"
34,"Harcourt, Inc."
35,"HarperCollinsPublishers"
36,"Penguin Books"
37,"Zola Books"
38,"Norton"
39,"HarperPerennial / Perennial Classics"
40,"Harper"
41,"Back Bay Books"
42,"Ballantine Books"
43,"Disney Hyperion Books"
44,"Children's Classics"
45,"Riverhead Books"
46,"Square Fish"
47,"Bantam"
48,"Penguin Classics"
49,"Little, Brown and Company"
50,"Puffin Books (US/CAN)"
51,"Red Fox"
52,"Random House Books for Young Readers"
53,"Penguin Classics"
54,"Seal Books"
55,"Penguin Books"
56,"Algonquin Books"
57,"Penguin"
58,"Dial Press"
59,"Penguin Classics"
60,"Riverhead Books"
61,"Anchor Books"
62,"Ember"
63,"Simon & Schuster"
64,"Ace Books"
65,"NAL Trade"
66,"Doubleday Books"
67,"Oxford University Press"
68,"Avon Books"
69,"Oxford University Press"
70,"Signet Classics"
71,"Harper Perennial Modern Classics"
72,"Arthur A. Levine Books / Scholastic Inc."
73,"Signet"
74,"Vintage"
75,"Dell Publishing Company"
76,"Washington Square Press"
77,"Puffin Books"
78,"Ballantine Books"
79,"Knopf"
80,"Little, Brown and Company"
81,"Houghton Mifflin Harcourt"
82,"Penguin Books"
83,"HarperCollins Publishers"
84,"W. W. Norton & Company"
85,"Alfred A. Knopf"
86,"Farrar, Straus and Giroux"
87,"Harper Perennial"
88,"Razorbill"
89,"Bantam Books"
90,"Harper Perennial Modern Classics"
91,"Alfred A. Knopf Books for Young Readers"
92,"Penguin Books"
93,"Plume"
94,"Scholastic Inc."
95,"Scribner"
96,"Grand Central Publishing"
97,"Dutton Juvenile"
98,"Doubleday & Company, Inc."
99,"Ballantine Books"
100,"Black Swan"
101,"Penguin Classics"
102,"St. Martin's Press"
103,"Penguin Books"
104,"Scholastic"
105,"Simon & Schuster, Margaret K. McElderry"
106,"Scholastic Inc."
107,"St. Martin's Press"
108,"Picador USA"
109,"Vintage International"
110,"Vintage International"
111,"Penguin Group DAW"
112,"New English Library (Hodder & Stoughton)"
113,"Penguin Classics"
114,"Alfred A. Knopf"
115,"Puffin Books"
116,""
117,"Penguin Books"
118,"Bantam Classics"
119,"Speak"
120,"Penguin Books"
121,"Vintage"
122,"Puffin Books"
123,"Warner"
124,"Harper Perennial"
125,"Harvest Books"
126,"Yearling"
127,"Arthur A. Levine Books / Scholastic Inc."
128,"NAL"
129,"Penguin Books"
130,"Vintage"
131,"W. W. Norton Company"
132,"Hyperion"
133,"Simon & Schuster BFYR"
134,"Random House Books for Young Readers"
135,"William Morrow"
136,"Penguin Classics"
137,"Pocket Books"
138,"Penguin Books"
139,"Scholastic"
140,"HarperCollins Publishers"
141,"DC Comics"
142,"New English Library"
143,"Disney ● Hyperion Books"
144,"Avon Books"
145,"Everyman's Library"
146,"Henry Holt and Co."
147,"Ballantine Books"
148,"Houghton Mifflin"
149,"Applause Books"
150,"Vintage International"
151,"Razorbill"
152,"HarperCollins Children's Books"
153,"Avon Books"
154,"Grand Central Publishing"
155,"Harper Collins Children's Books"
156,"Del Rey Books"
157,"Anchor Books"
158,"Prestwick House"
159,"Riverhead Books"
160,"Amistad"
161,"Modern Library"
162,"Penguin"
163,"Razorbill"
164,"HarperCollins"
165,"Random House Books for Young Readers"
166,"William Morrow"
167,"Razorbill"
168,"Penguin Classics"
169,"Howard Publishing Co"
170,"Green Integer"
171,"Hyperion Books for Children"
172,"Simon & Schuster Paperbacks"
173,"Walker Books Ltd"
174,"Rupa & Co"
175,"Ballantine Books"
176,"Puffin Books"
177,"Hyperion Books"
178,"Penguin Group"
179,"Gramercy Books"
180,"Scholastic"
181,"Scribner"
182,"Oxford University Press"
183,"Random House Bullseye Books"
184,"HarperCollins"
185,"Scholastic Press"
186,"Random House Books for Young Readers"
187,"Alfred A. Knopf"
