"seriesid","name"
1,"The Hunger Games #1"
2,"Harry Potter #5"
3,"To Kill a Mockingbird"
4,""
5,"The Twilight Saga #1"
6,""
7,""
8,"The Chronicles of Narnia (Publication Order) #1–7"
9,"The Lord of the Rings #0-3"
10,""
11,""
12,"The Hitchhiker's Guide to the Galaxy #1"
13,""
14,""
15,"Robert Langdon #2"
16,""
17,""
18,"Alice's Adventures in Wonderland #1-2"
19,""
20,""
21,""
22,"Divergent #1"
23,""
24,""
25,""
26,""
27,""
28,""
29,"The Mortal Instruments #1"
30,"Ender's Saga #1"
31,""
32,"Anne of Green Gables #1"
33,"Harry Potter #1"
34,""
35,""
36,""
37,""
38,"Dracula #1"
39,""
40,""
41,""
42,""
43,"Percy Jackson and the Olympians #1"
44,""
45,""
46,"Time Quintet #1"
47,"A Song of Ice and Fire #1"
48,"Adventures of Tom and Huck #2"
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,"The Handmaid's Tale #1"
62,"The Giver #1"
63,"Catch-22 #1"
64,"Dune #1"
65,"Kingsbridge #1"
66,""
67,"Sherlock Holmes #3"
68,"Watership Down #1"
69,""
70,"Little Women #1"
71,""
72,"Harry Potter #7"
73,""
74,""
75,"Outlander #1"
76,""
77,""
78,"The Lord of the Rings #1"
79,"Millennium #1"
80,""
81,""
82,"The Color Purple Collection #1"
83,""
84,""
85,""
86,"The Brothers Karamazov #1-4"
87,"Frank McCourt #1"
88,"Vampire Academy #1"
89,""
90,""
91,"His Dark Materials #1"
92,""
93,""
94,"Harry Potter #3"
95,""
96,"The Notebook #1"
97,"Winnie-the-Pooh #1"
98,""
99,"The Vampire Chronicles #1"
100,""
101,""
102,""
103,""
104,"Harry Potter #4"
105,"The Infernal Devices #1"
106,"Harry Potter #6"
107,""
108,""
109,""
110,""
111,"The Kingkiller Chronicle #1"
112,"The Shining #1"
113,"Adventures of Tom and Huck #1"
114,"The Inheritance Cycle #1"
115,"Charlie Bucket #1"
116,""
117,"Duluoz Legend"
118,""
119,""
120,"El cementerio de los libros olvidados #1"
121,""
122,""
123,""
124,""
125,""
126,""
127,"Harry Potter #2"
128,"The Godfather #1"
129,""
130,""
131,""
132,"The Five People You Meet in Heaven #1"
133,"Hush, Hush #1"
134,"The Cat in the Hat #1"
135,"American Gods #1"
136,""
137,"Lonesome Dove #1"
138,""
139,"Holes #1"
140,"The Chronicles of Narnia (Publication Order) #1"
141,"Watchmen #1-12"
142,""
143,"Percy Jackson and the Olympians #5"
144,"Little House #1-9"
145,"La Divina Commedia #1-3"
146,""
147,"All Quiet on the Western Front/The Road Back #1"
148,"The Hobbit"
149,""
150,""
151,"Vampire Academy #3"
152,"Divergent #2"
153,""
154,""
155,""
156,"The Hitchhiker's Guide to the Galaxy #0.5-5"
157,""
158,""
159,""
160,""
161,"The d'Artagnan Romances #1"
162,"Oz #1"
163,"Vampire Academy #2"
164,"Over the Moon #2"
165,""
166,""
167,"Vampire Academy #4"
168,""
169,"House of Earth #1"
170,""
171,"Percy Jackson and the Olympians #4"
172,""
173,"The Infernal Devices #3"
174,""
175,"Avalon #1"
176,"Percy Jackson and the Olympians #3"
177,"Percy Jackson and the Olympians #2"
178,""
179,""
180,""
181,""
182,""
183,""
184,""
185,"The Hunger Games #1-3"
186,""
187,"Millennium #2"
188,"The Maze Runner #1"
189,""
190,""
191,""
192,""
193,"Fifty Shades #1"
194,"Earth's Children #1"
195,"A Song of Ice and Fire #3"
196,""
197,""
198,""
199,""
200,""
201,"The Wicked Years #1"
202,"Asian Saga: Chronological Order #1"
203,""
204,"Hercule Poirot #10"
205,"His Dark Materials #1-3"
206,""
207,"The Plantagenet and Tudor Novels #9"
208,""
209,""
210,"Jurassic Park #1"
211,"Vampire Academy #6"
212,""
213,"Fallen #1"
214,"Middle-earth Universe"
215,""
216,""
217,""
218,""
219,""
220,"The Selection #1"
221,""
222,"The Hunger Games #2"
223,"The Heroes of Olympus #1"
224,"Throne of Glass #1"
225,"Vampire Academy #5"
226,"The Infernal Devices #2"
227,""
228,""
229,""
230,""
231,""
232,""
233,""
234,""
235,""
236,"Hannibal Lecter #2"
237,"The Wolves of Mercy Falls #1"
238,"Uglies #1"
239,"The Mortal Instruments #4"
240,""
241,""
242,""
243,""
244,"Ella Enchanted #1"
245,"ねじまき鳥クロニクル #1-3"
246,"The Lunar Chronicles #1"
247,"The Green Mile #1-6"
248,"Blindness #1"
249,"A Song of Ice and Fire #2"
250,""
251,""
252,"House of Night #1"
253,""
254,""
255,""
256,"Del Valle Family #3"
257,"Calvin and Hobbes"
258,""
259,""
260,"Howl's Moving Castle #1"
261,""
262,"Island of the Blue Dolphins #1"
263,""
264,"Millennium #3"
265,""
266,""
267,""
268,"Delirium #1"
269,"Beautiful #1"
270,""
271,""
272,""
273,"The Vampire Chronicles #2"
274,""
275,""
276,""
277,"The Once and Future King #1-4"
278,""
279,"London Below, The World of Neverwhere #1"
280,""
281,"Inkworld #1"
282,""
283,""
284,""
285,"Sherlock Holmes #1-9"
286,""
287,""
288,""
289,""
290,""
291,""
292,""
293,"All Creatures Great and Small #1-2"
294,"Graceling Realm #1"
295,""
296,""
297,"Foundation (Publication Order) #1"
298,"ノルウェイの森"
299,""
300,""
301,""
302,""
303,"海辺のカフカ"
304,"Heidi #1-2"
305,""
306,"The Mortal Instruments #5"
307,""
308,""
309,"The Kingkiller Chronicle #2"
310,""
311,""
312,""
313,""
314,""
315,""
316,"The Heroes of Olympus #2"
317,"Sookie Stackhouse #1"
318,"Whistle Stop, AL #1"
319,"Fifty Shades #2"
320,"Ready Player One #1"
321,""
322,"Big Little Golden Books"
323,"A Court of Thorns and Roses #2"
324,"The African Trilogy #1"
325,"Bridget Jones #1"
326,""
327,"The Hunger Games #3"
328,""
329,"The Power of One #1"
